-0.018120,-0.008563,0.472552
-0.044204,-0.023126,0.522829
-0.224833,-0.110248,0.482067
3.051594,0.017069,-0.189147
0.168352,0.102707,0.604300
0.696727,0.399472,0.477432
0.598744,0.275338,0.403548
-1.534626,-0.165354,0.005984
-2.529307,-0.738446,-1.051428
-2.670555,-0.610223,-1.198227
-2.470512,-0.765138,-0.963632
-2.406000,-0.767252,-0.847756
-2.361529,-0.762434,-0.770612
-2.473908,-0.065834,-0.083494
-1.274965,-0.083733,0.025520
-1.389437,-0.049453,0.009068
-1.856097,-0.042717,-0.012529
-1.315332,-0.022995,0.006006
-2.000720,-0.095739,-0.043899
-1.990988,-0.143938,-0.064312
-1.734927,-0.017091,-0.002831
-1.688226,-0.173458,-0.020463
0.065589,0.001515,0.023058
-1.362171,-0.073599,0.015581
-1.454735,-0.099207,0.011566
-1.820673,-0.044924,-0.011465
-1.580461,-0.076547,-0.000740
-1.336276,-0.067112,0.016034
-1.805459,-0.058882,-0.014077
-1.532565,-0.330585,0.012645
-1.729432,-0.049709,-0.007952
-1.117210,-0.034089,0.016618
-1.920447,-0.123852,-0.045161
-1.871948,-0.210799,-0.065474
-1.115971,-0.086306,0.042205
-1.511496,-0.054383,0.003229
-1.704767,-0.051043,-0.006880
-1.664194,-0.099870,-0.009355
-1.656391,-0.284369,-0.024400
-1.858403,-0.258469,-0.076457
-2.730840,-0.016288,-0.037399
-1.617538,-0.113332,-0.005301
-1.551822,-0.387366,0.007351
-1.583085,-0.077424,-0.000952
-1.771984,-0.150666,-0.030728
-1.602299,-0.213168,-0.006718
-1.948582,-0.184111,-0.073064
-1.252157,-0.088395,0.029160
-1.565638,-0.048997,0.000253
-1.744769,-0.043086,-0.007572
-1.754498,-0.213104,-0.039594
-1.058744,-0.145762,0.081926
-1.546075,-0.045860,0.001134
-1.290087,-0.031540,0.009094
-1.714352,-0.079110,-0.011435
-1.766760,-0.205991,-0.040892
-1.748685,-0.134171,-0.024123
-0.622348,-0.046035,0.064164
-1.060100,-0.050058,0.028046
-1.433501,-0.044446,0.006141
-1.808825,-0.254998,-0.061870
-1.353448,-0.063008,0.013915
-1.586612,-0.054495,-0.000862
-1.561645,-0.095195,0.000871
-1.513201,-0.163959,0.009454
-1.253651,-0.046637,0.015307
-1.641616,-0.265090,-0.018805
3.054096,0.000706,-0.008046
-1.593398,-0.092586,-0.002093
-1.938823,-0.199545,-0.076943
-0.910033,-0.062823,0.048834
-1.066581,-0.022443,0.012384
-1.852750,-0.076225,-0.022080
-1.584029,-0.191254,-0.002531
-1.759268,-0.220330,-0.042025
-0.691168,-0.037004,0.044728
-1.108165,-0.044785,0.022335
-1.520685,-0.064622,0.003241
-1.676996,-0.136682,-0.014570
-0.350759,-0.025269,0.069063
-0.941074,-0.044207,0.032213
-1.357731,-0.051706,0.011187
-1.757717,-0.163523,-0.030927
-1.703273,-0.606338,-0.080799
-1.489028,-0.168279,0.013791
-1.557704,-0.068997,0.000903
-1.633360,-0.083666,-0.005241
-1.607958,-0.153792,-0.005718
-2.789195,-0.269362,-0.732462
-2.949360,-0.132755,-0.682067
2.975232,0.120000,-0.714657
3.105321,0.027899,-0.768835
-2.492446,-0.739146,-0.974023
-2.604825,-0.706747,-1.187724
-2.594768,-0.755273,-1.240706
-2.550443,-0.781067,-1.163649
-2.539685,-0.769475,-1.120148
-2.466473,-0.785233,-0.980779
-2.464989,-0.785282,-0.977863
-2.464187,-0.785274,-0.976248
